timestamp,source,city,country,coordinates,temperature,humidity,pressure,wind_speed,wind_direction,clouds,weather_condition,weather_description,temperature_fahrenheit,processed_timestamp,heat_index_fahrenheit,heat_index_celsius,weather_severity
2025-05-17T00:21:37.430117,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:38.555342,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:16:05.342372,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:33.146936,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-16T23:48:31.012436,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.5,165,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:28.756441,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.3,62,1014.0,4.5,287,0,Partly Cloudy,Partly Cloudy,52.34,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:43.327275,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:52.032980,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-16T23:48:28.630513,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.2,71,1024.0,4.0,15,100,Overcast,Overcast,52.16,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:30.980316,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:16:03.336486,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.2,71,1024.0,4.0,15,100,Overcast,Overcast,52.16,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:49.333491,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
